Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,ENEMY_POTENTIALLY_KILLED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,LAST_AGENT_STANDING,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-19 23:04:22,196.0350067615509,10,11,19.45999999999988,57.98441928473767,1417,0,51,51,9,21,0,0,45,44,1,43,9,2,111,6,9,0,335,225,253,312,6,1409,1,9,131,51,334,279,369,241,131,64
2024-09-19 23:04:22,202.91544795036316,10,7,64.02000000000017,89.691310012131,2288,0,63,63,13,24,0,1,40,40,0,62,5,2,106,3,5,0,406,526,548,402,3,2288,5,22,242,63,415,587,426,550,242,73
2024-09-19 23:04:22,211.02175569534302,10,9,145.55999999999923,100.24274559901096,2636,0,71,71,20,28,0,0,53,51,0,69,4,2,128,7,4,0,419,650,638,436,6,2638,6,19,300,71,463,663,446,685,300,85
2024-09-19 23:04:22,216.67681789398193,10,4,43.15999999999946,67.18541667883983,1733,0,59,59,13,24,0,0,44,43,0,52,7,2,147,5,7,0,332,344,343,361,5,1729,3,18,150,59,401,362,372,369,150,82
2024-09-19 23:04:22,220.53239583969116,10,1,9.079999999999991,48.3650569479214,1196,0,42,42,8,22,0,0,39,37,0,35,9,1,74,5,9,0,238,184,207,254,5,1188,1,6,198,42,260,220,262,203,198,54
2024-09-19 23:04:22,228.68381571769714,10,14,134.53999999999806,104.56435476487968,2648,0,83,83,23,30,0,0,62,61,0,79,5,0,212,8,5,0,449,563,580,490,8,2648,5,21,276,83,500,611,502,665,276,99
2024-09-19 23:04:22,234.0698127746582,10,1,27.080000000000425,67.27309231471736,1845,0,56,56,15,28,0,1,45,45,1,50,8,2,93,3,8,0,335,365,342,419,3,1839,2,13,237,56,430,369,349,398,237,64
2024-09-19 23:04:22,241.89567399024963,10,8,135.2399999999986,97.71053223102354,2724,1,67,67,21,30,0,1,60,60,1,63,5,2,207,7,5,0,644,494,475,649,7,2724,5,10,193,67,709,528,684,537,193,78
2024-09-19 23:04:22,247.2368040084839,10,0,63.21999999999962,60.8537051283638,1690,0,87,86,16,23,0,0,54,54,1,81,8,11,103,8,8,0,390,251,297,431,8,1684,2,32,133,87,440,352,396,264,133,107
2024-09-19 23:04:22,257.0168628692627,10,14,205.44000000000057,113.81730440387037,2964,0,110,110,30,35,0,0,73,72,3,107,5,4,238,14,5,0,706,425,459,726,12,2964,5,39,305,110,766,562,735,461,305,140
2024-09-19 23:04:22,266.7521138191223,10,2,186.08000000000305,107.82363861310296,2947,0,113,114,26,32,0,0,64,62,0,110,3,6,176,10,3,0,631,484,559,674,10,2951,7,46,317,113,724,582,669,515,317,147
