Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 16:33:05,29.648344039916992,10,0,-69.63999999999993,6.025385908316821,214,0,12,12,0,13,0,0,32,6,10,1,40,0,10,23,16,15,23,0,0,0,85,12,32,19,44,20,85,14
2024-09-18 16:33:05,30.073051929473877,10,1,-69.41999999999996,12.870901207323186,362,1,15,15,2,14,0,0,34,9,10,1,75,0,10,61,22,22,73,0,0,0,94,15,87,58,65,34,94,24
2024-09-18 16:33:05,30.663429021835327,10,1,-80.0999999999995,12.859435621416196,341,0,14,14,2,10,0,0,29,10,10,1,110,0,10,35,19,21,39,0,0,1,103,14,92,67,38,23,103,18
2024-09-18 16:33:05,31.39893889427185,10,0,-62.01999999999963,24.42512932571117,638,2,18,18,5,19,0,0,43,10,10,4,115,0,10,82,109,111,82,0,0,3,121,18,123,130,106,114,121,44
2024-09-18 16:33:05,31.76412010192871,10,0,-72.33999999999968,13.946605261648074,329,1,13,13,2,14,0,0,32,8,10,2,108,0,10,51,25,30,43,0,0,0,59,13,51,69,97,28,59,25
2024-09-18 16:33:05,32.576472997665405,10,0,-81.34000000000101,28.14212046470493,690,3,17,17,4,13,0,0,40,9,10,4,229,0,10,107,93,94,97,0,0,5,53,17,146,203,143,114,53,31
2024-09-18 16:33:05,32.97259306907654,10,0,-83.8599999999994,13.191569050075486,339,1,12,12,0,12,0,0,28,10,10,1,139,0,10,14,53,56,15,0,0,0,50,12,35,65,103,65,50,21
2024-09-18 16:33:05,33.211085081100464,10,0,-80.94000000000003,8.03355717798695,205,0,12,12,1,9,0,0,26,9,10,1,115,0,10,16,15,17,16,0,0,0,14,12,41,18,95,19,14,18
2024-09-18 16:33:05,33.90478014945984,10,1,-65.4200000000002,19.497918657958508,460,2,14,14,3,15,0,0,40,10,10,4,100,0,10,95,16,16,104,0,0,1,115,14,124,74,112,19,115,16
2024-09-18 16:33:05,34.81056213378906,10,0,-52.31999999999879,29.0938381399028,625,0,14,13,5,14,0,0,31,14,9,2,88,0,9,40,177,177,38,0,1,1,92,14,85,182,68,180,92,19
2024-09-18 16:33:05,35.1869158744812,10,0,-73.33999999999953,14.509947328828275,307,0,14,14,2,9,0,0,30,9,10,2,55,0,10,95,15,17,92,0,0,1,19,14,101,23,114,31,19,19
2024-09-18 16:33:05,35.8588809967041,10,2,-50.579999999998904,26.52797192533035,545,2,16,16,5,19,0,0,48,10,10,3,101,0,10,166,29,29,163,0,0,0,41,16,170,52,209,48,41,25
2024-09-18 16:33:05,36.420610189437866,10,0,-82.88000000000083,24.17268025362864,490,1,13,13,1,10,0,0,26,9,10,1,67,0,10,149,47,47,148,0,0,1,19,13,159,70,156,69,19,17
2024-09-18 16:33:05,37.08134984970093,10,0,-92.14000000000027,29.38081197394058,596,0,13,13,1,10,0,0,24,8,10,0,123,0,10,132,80,79,132,0,0,2,37,13,146,139,138,116,37,20
2024-09-18 16:33:05,37.59295916557312,10,1,-57.31999999999957,24.23176192585379,460,0,14,14,2,22,0,0,43,6,10,1,96,0,10,87,56,60,86,0,0,1,61,14,121,94,100,64,61,20
2024-09-18 16:33:05,38.02094292640686,10,0,-66.93999999999991,16.584141582716256,310,2,14,14,2,11,0,0,38,9,10,3,86,0,10,79,18,20,76,0,0,2,17,14,80,70,88,31,17,24
2024-09-18 16:33:05,38.4467830657959,10,2,-52.240000000000045,16.657902002334595,314,3,17,17,4,17,0,0,41,8,10,4,45,0,10,100,20,23,94,0,0,0,15,17,103,31,102,29,15,34
2024-09-18 16:33:05,38.961092948913574,10,1,-60.69999999999908,20.735170618630946,387,1,15,15,5,14,0,0,38,10,10,4,101,0,10,114,13,13,112,0,0,0,19,15,121,36,126,64,19,21
2024-09-18 16:33:05,39.33083915710449,10,1,-73.17999999999981,16.187849453883246,265,2,13,13,1,15,0,0,31,10,10,4,111,0,10,41,13,15,34,0,0,0,38,13,40,82,51,36,38,18
2024-09-18 16:33:05,39.88134407997131,10,0,-68.16000000000015,24.05490657838527,412,1,16,16,3,15,0,0,34,9,10,1,76,0,10,101,31,31,94,0,0,2,63,16,106,76,109,34,63,24
2024-09-18 16:33:05,40.9303560256958,10,0,-88.4999999999992,55.71038335049525,937,0,16,16,2,20,0,0,38,13,10,2,249,0,10,214,38,42,215,0,0,3,163,16,268,82,340,59,163,25
2024-09-18 16:33:05,41.9483962059021,10,0,-78.06000000000128,53.80300641153008,893,1,23,23,5,20,0,0,47,16,10,1,263,0,10,197,70,70,194,0,0,14,76,23,270,207,215,87,76,38
2024-09-18 16:33:05,43.52507305145264,10,4,-43.639999999998466,72.43939739174675,1296,1,25,25,14,30,0,0,60,18,9,3,484,0,9,267,25,25,262,0,1,3,209,25,353,180,305,205,209,45
2024-09-18 16:33:05,44.24718499183655,10,0,-57.72000000000007,35.394074872136116,611,1,18,18,3,18,0,0,46,9,10,2,63,0,10,215,23,23,208,0,0,3,61,18,218,36,220,49,61,27
2024-09-18 16:33:05,44.70043611526489,10,0,-73.02000000000002,23.72549754846841,397,0,16,16,1,16,0,0,38,10,10,2,156,0,10,43,27,25,44,0,0,0,86,16,68,30,81,105,86,27
2024-09-18 16:33:05,45.13256883621216,10,0,-54.67999999999986,21.14090762473643,371,0,17,17,5,18,0,0,39,12,10,2,62,0,10,76,16,16,87,0,0,0,97,17,95,30,88,38,97,23
