Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-18 20:52:15,49.24854874610901,10,4,69.23999999999995,0,16,16,82,0,0,0,0,10,0,75,0,10,107,88,111,115,0,0,21,0,130,135,116,99,19,24
2024-09-18 20:52:15,50.38030171394348,10,2,95.09999999999984,0,13,13,104,0,0,0,0,10,0,49,0,10,82,67,79,102,0,0,14,0,113,89,89,73,14,18
2024-09-18 20:52:15,51.66444492340088,10,13,88.11999999999937,0,20,20,102,0,0,0,0,10,0,72,0,10,115,142,150,141,0,0,24,0,160,158,126,153,23,34
2024-09-18 20:52:15,52.88024973869324,10,11,106.28999999999908,0,20,20,120,0,0,0,0,10,0,70,0,10,94,131,173,138,0,0,27,0,155,184,100,141,26,37
2024-09-18 20:52:15,53.93490386009216,10,5,82.22999999999998,0,11,11,92,0,0,0,0,10,0,55,0,10,117,48,101,116,0,0,9,0,126,116,125,54,9,17
2024-09-18 20:52:15,54.96645498275757,10,8,109.73999999999927,0,17,17,119,0,0,0,0,10,0,49,0,10,77,57,115,112,0,0,15,0,125,126,79,64,15,23
2024-09-18 20:52:15,55.97376585006714,10,0,76.92999999999982,0,13,13,88,0,0,0,0,10,0,68,0,10,94,68,84,101,0,0,16,0,118,104,100,75,15,22
2024-09-18 20:52:15,56.99748992919922,10,7,99.38999999999962,0,17,17,110,0,0,0,0,10,0,57,0,10,132,62,70,152,0,0,15,0,159,89,140,67,15,25
2024-09-18 20:52:15,57.99065685272217,10,18,73.36000000000006,0,11,11,81,0,0,0,0,10,0,36,0,10,77,84,97,81,0,0,13,0,85,106,84,84,13,17
2024-09-18 20:52:15,59.17076778411865,10,20,113.61999999999877,0,17,17,125,0,0,0,0,10,0,57,0,10,133,89,102,164,0,0,16,0,175,115,138,97,16,27
2024-09-18 20:52:15,60.32728886604309,10,15,140.4199999999997,0,15,15,152,0,0,0,0,10,0,62,0,10,124,95,126,123,0,0,14,0,144,136,129,102,14,24
