Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 11:46:10,105.80324196815491,10,49,601.8600000000114,125.46318813413382,2,16,16,345,0,0,0,14,8,3,34,0,8,237,214,202,221,0,2,0,24,16,227,214,244,221,24,18
2024-09-18 11:46:10,107.57883286476135,10,32,766.4000000000144,144.9068681076169,0,16,16,392,0,0,0,14,4,0,32,0,4,255,215,251,283,0,6,0,13,16,290,261,260,220,13,21
2024-09-18 11:46:10,109.81873798370361,10,49,834.5000000000167,158.9853092432022,0,13,13,418,0,0,0,12,3,1,38,0,3,309,274,251,244,0,7,0,16,13,249,262,318,285,16,15
2024-09-18 11:46:10,111.74368500709534,10,49,886.220000000017,164.53509289771318,0,12,12,444,0,0,0,11,3,0,30,0,3,303,286,272,267,0,7,0,23,12,273,284,306,292,23,15
2024-09-18 11:46:10,113.9766480922699,10,50,986.2800000000212,185.484209921211,1,13,13,488,0,0,0,11,2,2,46,0,2,369,307,326,318,0,8,0,23,13,325,331,377,330,23,16
2024-09-18 11:46:10,115.80189895629883,10,9,801.4200000000154,145.4583067819476,0,17,17,410,0,0,0,18,4,0,27,0,4,281,248,258,291,0,6,0,18,17,298,263,286,256,18,19
2024-09-18 11:46:10,117.87263584136963,10,30,908.140000000018,156.8119938597083,0,19,19,447,0,0,0,22,2,0,41,0,2,307,285,293,295,0,8,0,14,19,299,306,320,292,14,23
2024-09-18 11:46:10,120.12599778175354,10,49,851.7400000000166,150.23345662280917,0,22,22,445,0,0,0,23,5,2,26,0,5,272,241,282,341,0,5,0,16,22,347,287,277,249,16,24
2024-09-18 11:46:10,122.1469509601593,10,48,894.0800000000173,158.5558649301529,0,20,20,458,0,0,0,20,4,1,34,0,4,314,266,300,297,0,6,0,22,20,301,309,324,274,22,23
2024-09-18 11:46:10,124.0783839225769,10,46,743.4600000000163,152.09296000376344,0,17,17,400,0,0,0,14,6,2,32,0,6,280,258,285,294,0,4,0,20,17,299,293,287,265,20,22
2024-09-18 11:46:10,125.49588418006897,10,17,609.9200000000119,113.26186997070909,0,13,13,330,0,0,0,11,6,1,31,0,6,192,198,218,227,0,4,0,17,13,232,234,196,203,17,14
2024-09-18 11:46:10,127.6076009273529,10,49,942.5800000000182,161.57835834100842,0,18,18,465,0,0,0,16,2,0,46,0,2,332,321,243,309,0,8,0,18,18,315,267,340,329,18,18
2024-09-18 11:46:10,129.691153049469,10,49,855.7600000000186,170.86177767813206,0,16,16,449,0,0,0,16,5,2,51,0,5,300,298,289,322,0,5,0,29,16,335,308,305,308,29,20
2024-09-18 11:46:10,131.470862865448,10,49,806.7400000000148,139.3329217582941,0,13,13,403,0,0,0,12,3,2,24,0,3,275,246,223,285,0,7,0,17,13,292,228,280,249,17,17
2024-09-18 11:46:10,132.97868394851685,10,25,673.1600000000122,122.59249847382307,0,15,15,371,0,0,0,15,7,0,33,0,7,200,202,222,248,0,3,0,15,15,256,228,210,207,15,19
2024-09-18 11:46:10,134.78966999053955,10,49,801.360000000016,149.8768098242581,0,14,14,410,0,0,0,14,4,1,32,0,4,279,243,254,285,0,6,0,18,14,291,261,284,255,18,16
2024-09-18 11:46:10,136.72864294052124,10,49,858.9800000000173,159.0285743251443,1,20,20,440,0,0,0,20,4,2,30,0,4,316,265,280,279,0,6,0,23,20,286,283,324,274,23,23
2024-09-18 11:46:10,138.9773919582367,10,33,969.4200000000188,178.74444824829698,0,25,25,488,0,0,0,24,3,1,35,0,3,343,317,283,336,0,7,0,20,25,343,289,352,323,20,32
2024-09-18 11:46:10,140.83703303337097,10,50,798.600000000016,150.70968027040362,0,25,25,419,0,0,0,21,5,2,37,0,5,264,293,254,275,0,5,0,22,25,284,257,271,302,22,34
2024-09-18 11:46:10,142.90606117248535,10,47,802.180000000017,159.047019187361,0,23,23,430,0,0,0,21,6,0,38,0,6,282,291,263,296,0,4,0,22,23,302,279,289,296,22,27
2024-09-18 11:46:10,144.55462789535522,10,49,708.720000000014,131.70333155989647,1,16,16,372,0,0,0,16,5,1,37,0,5,237,231,222,257,0,5,0,21,16,274,228,241,235,21,22
2024-09-18 11:46:10,146.73462986946106,10,49,1006.3200000000198,173.63414335250854,0,16,16,497,0,0,0,16,2,3,36,0,2,339,300,290,350,0,8,0,15,16,355,301,345,310,15,20
2024-09-18 11:46:10,148.76389002799988,10,50,851.0800000000172,161.8276657834649,0,19,19,445,0,0,0,19,5,0,28,0,5,321,263,278,303,0,5,0,23,19,311,285,327,270,23,19
2024-09-18 11:46:10,150.41587901115417,10,49,725.0000000000133,136.14231617748737,1,15,15,380,0,0,0,14,5,2,33,0,5,272,220,215,251,0,5,0,16,15,255,225,278,228,16,20
2024-09-18 11:46:10,152.56275582313538,10,45,947.9000000000199,182.07246696203947,0,23,23,486,0,0,0,23,4,1,32,0,4,330,320,294,327,0,6,0,27,23,330,310,334,327,27,25
2024-09-18 11:46:10,154.70580410957336,10,49,956.8400000000199,176.14245686680079,0,15,15,481,0,0,0,14,3,1,27,0,3,317,315,305,329,0,7,0,36,15,334,308,326,324,36,16
2024-09-18 11:46:10,156.59955406188965,10,30,853.4600000000172,156.1945868693292,1,18,18,428,0,0,0,17,3,1,31,0,3,280,296,256,285,0,7,0,25,18,291,260,291,301,25,23
2024-09-18 11:46:10,158.7058289051056,10,49,859.3200000000177,168.4644962400198,0,17,17,441,0,0,0,18,4,3,39,0,4,318,310,288,290,0,6,0,19,17,301,295,329,319,19,18
